time,Signal
0,5.13429942672162
0.001,4.7610158854517
0.002,5.14847424543821
0.003,5.33358676857946
0.004,5.10783158596904
0.005,5.21950445583303
0.006,5.16045577844897
0.007,4.9569033159168
0.008,5.078878369774
0.009,4.86515989266449
0.01,5.20280773361403
0.011,4.79822649170575
0.012,4.81637805450234
0.013,4.87076374269783
0.014,4.44631766225531
0.015,5.32536121913073
0.016,5.10523356243506
0.017,4.89171968797307
0.018,5.31927453560466
0.019,4.7054205733414
0.02,5.02978392640635
0.021,5.00445107003963
0.022,5.11908936840462
0.023,5.12032673683377
0.024,4.88728546095746
0.025,5.05675701734302
0.026,5.03229668541272
0.027,5.1933185152194
0.028,5.28893409104849
0.029,5.29463882264574
0.03,4.90255608625707
0.031,5.093260213364
0.032,4.83746596315789
0.033,4.86008940790299
0.034,5.08391905779954
0.035,5.39431351052979
0.036,4.93635192514805
0.037,5.16705763839918
0.038,5.05016084762165
0.039,5.3212438677148
0.04,4.882453727841
0.041,5.10927103699324
0.042,5.21575689149627
0.043,5.3278644351739
0.044,5.4190746116485
0.045,5.12990721218515
0.046,4.81689056391428
0.047,4.96923476201894
0.048,4.90786412463261
0.049,5.59275607178998
0.05,5.00202719573881
0.051,5.27724463865959
0.052,5.09162603003825
0.053,5.31031098334664
0.054,4.98209690845661
0.055,4.85708948635578
0.056,4.85554326216192
0.057,5.24013101418336
0.058,5.10948957957794
0.059,5.1082248612884
0.06,5.43376708179709
0.061,5.21068993978179
0.062,5.19440178513356
0.063,5.47484437368715
0.064,4.99887479314162
0.065,5.30155471945513
0.066,5.33170772003044
0.067,5.11840568424634
0.068,5.21273970521839
0.069,4.93889220331728
0.07,4.94492403733751
0.071,5.1979414174355
0.072,5.32386741520451
0.073,5.69896322304057
0.074,5.050933407201
0.075,5.22422249600051
0.076,5.17270031254479
0.077,4.80503565326334
0.078,5.10628615384937
0.079,4.83758084866292
0.08,5.36702701568267
0.081,5.023778822469
0.082,5.22383514717457
0.083,5.09734012457314
0.084,5.26937736396179
0.085,5.09103312754555
0.086,5.31151465569109
0.087,5.36381526028929
0.088,5.56073910501017
0.089,5.18195359896734
0.09,4.7955218309434
0.091,5.05768751125278
0.092,5.49893427557691
0.093,5.01599225113497
0.094,NaN
0.095,5.26004222018648
0.096,5.52497258980542
0.097,4.84785192512001
0.098,5.20288857051139
0.099,5.00325301669884
0.1,5.82881520164583
0.101,5.41464641619643
0.102,NaN
0.103,5.04273725546846
0.104,5.16303177162564
0.105,5.20464005270848
0.106,NaN
0.107,5.20830994532955
0.108,5.40656392725105
0.109,4.85826105153183
0.11,5.20022033664135
0.111,5.10863638128182
0.112,4.96030293397977
0.113,5.37966719975802
0.114,5.33682426888712
0.115,5.2894758514723
0.116,5.01839391428498
0.117,5.51297477247303
0.118,5.3598561754843
0.119,5.23234820344667
0.12,5.29907760069807
0.121,5.24443588119642
0.122,4.94912489090088
0.123,5.24436661401066
0.124,5.13754997410392
0.125,5.11030548485861
0.126,5.07718686268912
0.127,5.20407317544189
0.128,4.91257178629315
0.129,5.50825606400069
0.13,5.42173033279892
0.131,5.3160177394613
0.132,5.31537093136523
0.133,5.16499108922013
0.134,5.53065631621479
0.135,5.30256799098254
0.136,5.1885944320372
0.137,NaN
0.138,5.29111437151893
0.139,5.22054187152408
0.14,5.28187271370498
0.141,5.17331057829252
0.142,5.12113917629602
0.143,5.85263037785551
0.144,5.68079213189822
0.145,5.41345836773238
0.146,5.10278291296071
0.147,5.18336473179056
0.148,5.32339975002574
0.149,5.5192344798792
0.15,5.09679151552859
0.151,4.89945651630642
0.152,5.07784442992944
0.153,5.43659636744595
0.154,5.45039158334855
0.155,5.46467973519411
0.156,5.35050621510312
0.157,5.41551654270224
0.158,5.28575995961054
0.159,5.55560296442719
0.16,5.11306404510722
0.161,5.47860934396438
0.162,5.22005822459353
0.163,5.32501553352258
0.164,5.50473854242754
0.165,5.60418506544692
0.166,5.17502034761855
0.167,5.65285704211275
0.168,5.534927189518
0.169,5.39149473517397
0.17,5.36818889302055
0.171,5.36587313006284
0.172,5.35093010275486
0.173,5.41831391699555
0.174,5.42611194526632
0.175,5.58321140981508
0.176,5.72553504131571
0.177,5.51565929669299
0.178,5.38246627976764
0.179,5.55157536800728
0.18,5.46530688858348
0.181,5.224827835948
0.182,5.62274136792771
0.183,5.49642077005237
0.184,5.46415046580731
0.185,5.54226752150347
0.186,5.49359796131382
0.187,5.25511362879827
0.188,5.41303295862978
0.189,5.41837487961543
0.19,5.34326442691994
0.191,5.7881638789855
0.192,5.2786692900694
0.193,5.35911966955551
0.194,5.31554479067019
0.195,5.22516173534326
0.196,5.42361025922996
0.197,5.40929351752696
0.198,5.77216688661968
0.199,5.41838765471767
0.2,5.25738551925611
0.201,5.79295061910905
0.202,5.721221285507
0.203,5.43038178157405
0.204,5.17709204565007
0.205,5.39141061697131
0.206,5.45115542620627
0.207,5.53955997669111
0.208,5.43411150900039
0.209,5.5770217329661
0.21,5.56870448480887
0.211,5.24217331477806
0.212,5.30469550600598
0.213,5.34804018759316
0.214,5.39666671433486
0.215,5.43607902374852
0.216,5.50464689730488
0.217,4.89827162866747
0.218,5.41465320135618
0.219,5.75648984882116
0.22,5.296598912002
0.221,5.69861881569519
0.222,5.58386632281249
0.223,5.50992483816033
0.224,5.55413520275675
0.225,5.206547235834
0.226,5.50455908427716
0.227,5.84415964526927
0.228,5.54493815953039
0.229,5.5354363725649
0.23,5.38221566971957
0.231,5.5247693671435
0.232,5.5792788964723
0.233,5.61995912761602
0.234,5.46198671288468
0.235,5.49111909405638
0.236,5.94500442381743
0.237,5.09044635587684
0.238,5.98985183906932
0.239,5.61331562741014
0.24,5.74764984866078
0.241,5.21663418223811
0.242,5.43328413386883
0.243,5.4974967424111
0.244,5.63946578289434
0.245,5.22269009770376
0.246,5.65285920047804
0.247,5.31775948069215
0.248,5.575357985524
0.249,5.69437666088616
0.25,5.63109741838466
0.251,5.78398648450517
0.252,5.77044396393124
0.253,5.44081013450159
