T_bat,SOC,V_bat,I_chg,t_rest,etat_processus
43.804540225011,41.7022004702574,3.46300730437265,1.72660660645327,59.0654333786508,1
21.0763744689805,72.0324493442158,3.80990424601569,1.95295742694799,25.1336301526487,1
25.7407663260716,0.0114374817344887,3,1.95245340346425,89.8794509882291,1
49.3236669317905,30.233257263184,3.30747568092265,1.36888374874474,88.5062902703391,3
48.8239191806193,14.6755890817113,3.10963143328725,1.4817237658398,100.268692748731,3
36.6977497730631,9.23385947687978,3.02156367609967,2.058718236596,77.4778963382756,1
39.3827216448782,18.6260211377671,3.17915246184722,1.95356511675237,73.1062647913543,1
28.1627904287982,34.5560727043048,3.33775716688468,2.05504487903659,55.9603599454678,1
48.5627325713852,39.676747423067,3.4295398622658,1.50438871183955,69.8550200547827,1
40.0932441898172,53.8816734003357,3.58506614798137,2.04139382753069,39.6926617964677,1
40.0042398541628,41.9194514403295,3.47469986656266,2.07026040609961,49.3076166996514,1
20.3331000010977,68.5219500396759,3.76455119637863,2.03376420978931,27.1914114190071,1
45.5890954954908,20.4452249731517,3.17177303077114,1.70344754552629,81.6668827155284,1
43.3497865604061,87.8117436390945,3.95218543644788,0.745743243812982,27.5702767446757,2
40.5477199071442,2.73875931979262,3,1.89754823157637,89.8926303266282,1
42.2234543905875,67.0467510178402,3.7811332559636,1.85288113877464,31.1715991919937,1
24.6971727379513,41.7304802367127,3.43632822362512,1.9735542151331,51.8321351558245,1
41.5632515854595,55.8689828445752,3.63670900401065,1.89887145598748,40.7599129412643,1
22.9045523207963,14.0386938595234,3.09669176532219,1.96106129537837,76.9396494320905,1
41.208483441159,19.8101489084879,3.15968531708762,1.91582275007094,73.4256086717447,1
20.0789538837651,80.0744568675537,3.85815226215316,1.96254515240973,17.8212039593045,2
43.2861736238114,96.8261575719397,4.05061456314014,0.300926360025431,16.2795304692827,2
34.7467155434462,31.3424178159243,3.29560058128201,2.0184137409123,59.7480308155507,1
26.1316059889359,69.2322615669314,3.76499660040919,1.91784905830747,28.1433827181628,1
41.8773984333619,87.6389152296038,3.97261173885673,0.836525447703988,25.0979288235191,2
29.4696239534948,89.4606663503847,3.99560808531026,0.609481009770676,28.7662575392493,2
46.5145276999254,8.50442113697779,3,1.65502643761142,96.5920752432193,1
25.4070057569667,3.90547832328824,3,2.06193000190365,81.9014545284029,1
48.1565196285808,16.9830419564569,3.15391243601359,1.58831938711382,91.2096418157056,1
49.1225044415948,87.8142503429413,3.94771787795302,0.680270438744783,30.0359267183364,2
29.1345573215699,9.83468338330501,3.04397939282339,1.94478078917812,81.3611053357496,1
45.874591991129,42.1107625005052,3.49741055052393,1.61000328700615,62.7713380538051,1
45.2653735660103,95.7889530150502,4.02058440137243,0.346223285433642,19.1303359786488,2
32.7383813028381,53.3165284973017,3.57012340707593,2.04464611065191,40.116680463367,1
30.9105322355835,69.1877113950473,3.76603864589043,2.01242716565373,26.8916742431168,1
28.4731241970513,31.5515631006063,3.34172368781474,1.93775290750397,61.9831498944304,1
49.7971035339664,68.6500927681584,3.73830694873606,1.41335429449416,38.5619758862437,3
27.672530808557,83.4625671897373,3.92728444772411,1.40796058015154,20.4171357331066,2
47.6202679327737,1.82882773441918,3,1.56158513175649,109.648635120782,1
32.8500564127917,75.0144314944967,3.86262179713541,1.93178299256948,22.6937174647941,1
48.0628103702423,98.8861088906495,4.10596737645295,0.187926545174565,8.42698739377692,0
45.1653450259455,74.8165654379839,3.81111027962631,1.71458736344169,25.6888285333836,1
24.6733197684654,28.0443992064405,3.25643353487772,2.1035889834439,60.1415044486743,1
37.2285006305265,78.9279328451488,3.87307773023913,2.02918633071529,18.2425789927559,1
40.2050904405706,10.3226006577642,3.01666199452962,2.00121454551619,78.6945076851547,1
32.1746121799714,44.7893526175905,3.45181066576948,2.04379257306915,47.4637108596978,1
20.1463113344668,90.8595503093096,4.01344402969197,0.646614584650444,23.6182385579807,2
29.7599398930688,29.3614148373679,3.28254301994508,1.92959377132701,64.2300734294105,1
45.1683484391975,28.7775338586349,3.28903568086807,1.68449927267908,73.9120742647765,1
21.8847194065181,13.0028572118278,3.08832188743419,1.97322865240774,77.3984971161587,1
23.1625923931795,1.93669578702971,3,2.01233100162851,85.5895331273026,1
41.0536203953575,67.8835532939891,3.75602359344346,2.0142658214976,28.0049223645429,1
35.4247480326856,21.1628116000059,3.20836887166198,2.01496757364848,68.7211464871876,1
34.9450047498354,26.5546659372226,3.29364378401667,2.0624277810643,62.5827791596229,1
31.2082915677922,49.1573159280338,3.53886715140522,2.03783216071619,43.8334235153011,1
38.1054085001396,5.33625451170804,3,2.01356185352274,82.5731206399469,1
45.5440630063111,57.4117605492013,3.65182804149543,1.66103377368184,44.8026404800191,1
28.3076916940698,14.672857490581,3.11138456739129,2.05301426401726,73.0327221954084,1
45.3428408853091,58.9305536903284,3.66701460723625,1.70449491469873,42.1346352947981,1
32.4985744571635,69.9758360020931,3.75776483629043,1.98222447996424,26.5932704428319,1
35.0295203718182,10.2334428827826,3.03503063241181,2.07651235591145,75.9834770589593,1
41.8887013570454,41.4055987819568,3.41357864510249,1.96763563630447,52.2740183087061,1
27.7616512251982,69.4400157727745,3.80095820481478,1.94690060657074,27.5466747959332,1
47.6491075596842,41.4179269526903,3.44922740259413,1.614795160817,63.3397633336516,1
41.0620839268654,4.99534589460872,3,1.96937939274901,84.6836300319515,1
38.5679126929247,53.5896405915512,3.57722157819718,1.95314267679108,41.7037926968997,1
28.1902651193575,66.3794645219789,3.74797919896684,1.86535959733878,31.59561470573,1
40.8754536907834,51.4889112058309,3.53128372065149,1.96673392380238,43.2977096278869,1
27.7164424536037,94.4594755990813,4.02651924404252,0.446285701890934,20.0951667228271,2
